ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
26/08/2021,Child,Paediatric Respiratory Medicine,377,307,124,280,"1,088"
26/08/2021,Child,Paediatric Surgery,253,103,29,55,440
26/08/2021,Child,Paediatric Urology,90,124,41,114,369
26/08/2021,Child,Paediatrics,57,15,6,17,94
26/08/2021,Child,Plastic Surgery,178,92,46,73,389
26/08/2021,Child,Rheumatology,19,6,0,68,93
26/08/2021,Child,Small Volume Specialties,46,21,12,19,98
26/08/2021,Child,Urology,131,72,37,95,335
30/09/2021,Adult,Anaesthetics,232,19,0,2,253
30/09/2021,Adult,Breast Surgery,57,37,11,43,148
30/09/2021,Adult,Cardio-Thoracic Surgery,199,28,11,53,291
30/09/2021,Adult,Cardiology,"2,275",871,217,249,"3,612"
30/09/2021,Adult,Clinical Immunology,120,60,2,20,202
30/09/2021,Adult,Dental Surgery,34,15,4,7,59
30/09/2021,Adult,Dermatology,836,102,51,140,"1,129"
30/09/2021,Adult,Endocrinology,12,15,4,15,46
30/09/2021,Adult,Gastro-Enterology,264,100,54,110,528
30/09/2021,Adult,Gastro-Intestinal Surgery,159,70,26,163,418
30/09/2021,Adult,General Medicine,180,82,31,23,316
30/09/2021,Adult,General Surgery,"6,802","2,258",896,"2,038","11,994"
30/09/2021,Adult,Geriatric Medicine,27,13,9,8,57
30/09/2021,Adult,Gynaecology,"3,096",948,376,929,"5,349"
30/09/2021,Adult,Haematology,28,6,0,0,34
30/09/2021,Adult,Hepato-Biliary Surgery,20,6,4,50,79
30/09/2021,Adult,Maxillo-Facial,265,110,29,272,676
30/09/2021,Adult,Nephrology,59,7,2,2,70
30/09/2021,Adult,Neurology,232,38,14,61,345
30/09/2021,Adult,Neurosurgery,303,180,88,108,679
30/09/2021,Adult,Oncology,88,4,4,0,96
30/09/2021,Adult,Ophthalmology,"5,499","1,203",358,954,"8,014"
30/09/2021,Adult,Oral Surgery,165,127,51,120,463
30/09/2021,Adult,Orthopaedics,"5,220","1,819",698,"1,942","9,679"
30/09/2021,Adult,Otolaryngology (ENT),"1,727",605,231,784,"3,347"
30/09/2021,Adult,Pain Relief,"2,549","1,036",412,"1,127","5,124"
30/09/2021,Adult,Plastic Surgery,"2,073",758,298,927,"4,056"
30/09/2021,Adult,Radiology,13,11,8,0,32
30/09/2021,Adult,Respiratory Medicine,300,47,11,90,448
30/09/2021,Adult,Rheumatology,202,72,29,68,371
30/09/2021,Adult,Small Volume Specialties,6,4,2,2,13
30/09/2021,Adult,Urology,"4,323","1,690",838,"1,629","8,480"
30/09/2021,Adult,Vascular Surgery,726,253,80,250,"1,309"
30/09/2021,Child,Cardio-Thoracic Surgery,39,13,0,0,52
30/09/2021,Child,Clinical Immunology,101,26,4,8,139
30/09/2021,Child,Dental Surgery,86,57,26,85,254
30/09/2021,Child,General Surgery,173,35,19,27,254
30/09/2021,Child,Immunology,31,34,7,13,85
30/09/2021,Child,Maxillo-Facial,47,17,4,26,94
30/09/2021,Child,Ophthalmology,283,162,69,110,624
30/09/2021,Child,Oral Surgery,11,9,5,8,33
30/09/2021,Child,Orthopaedics,230,58,25,45,358
30/09/2021,Child,Otolaryngology (ENT),220,84,22,90,416
30/09/2021,Child,Paed Cardiology,109,46,20,35,210
30/09/2021,Child,Paed Endocrinology,29,12,6,15,62
30/09/2021,Child,Paed Gastro-Enterol,15,4,2,4,25
30/09/2021,Child,Paed Metabolic Medicine,14,5,0,2,21
30/09/2021,Child,Paed Orthopaedic,403,258,99,359,"1,119"
30/09/2021,Child,Paediatric Dermatology,31,19,2,2,54
