Archive_Date,Group,Hospital_HIPE,Hospital,Specialty_HIPE1,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,7800,Urology,Adult,16-64, 3-6 Months,41
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,7800,Urology,Adult,16-64, 6-9 Months,30
25/02/2021,Saolta University Health Care Group,0803,Roscommon University Hospital,7800,Urology,Adult,16-64,12-15 Months,23
25/02/2021,Saolta University Health Care Group,0919,Portiuncula University Hospital,0100,Cardiology,Adult,16-64,15-18 Months,43
25/02/2021,Saolta University Health Care Group,0919,Portiuncula University Hospital,0100,Cardiology,Adult,16-64,18 Months +,109
25/02/2021,Saolta University Health Care Group,0919,Portiuncula University Hospital,0100,Cardiology,Adult,65+, 0-3 Months,40
25/02/2021,Saolta University Health Care Group,0919,Portiuncula University Hospital,0100,Cardiology,Adult,65+, 3-6 Months,31
25/02/2021,Saolta University Health Care Group,0919,Portiuncula University Hospital,0100,Cardiology,Adult,65+,12-15 Months,22
25/02/2021,Saolta University Health Care Group,0919,Portiuncula University Hospital,0300,Dermatology,Adult,16-64,15-18 Months,41
25/02/2021,Saolta University Health Care Group,0919,Portiuncula University Hospital,0300,Dermatology,Adult,16-64,18 Months +,174
25/02/2021,Saolta University Health Care Group,0919,Portiuncula University Hospital,0300,Dermatology,Adult,65+, 0-3 Months,7
25/02/2021,Saolta University Health Care Group,0919,Portiuncula University Hospital,0300,Dermatology,Adult,65+, 3-6 Months,9
25/02/2021,Saolta University Health Care Group,0919,Portiuncula University Hospital,0300,Dermatology,Adult,65+, 9-12 Months,1
25/02/2021,Saolta University Health Care Group,0919,Portiuncula University Hospital,0300,Dermatology,Adult,65+,12-15 Months,3
25/02/2021,Saolta University Health Care Group,0919,Portiuncula University Hospital,0400,Endocrinology,Adult,16-64, 0-3 Months,24
25/02/2021,Saolta University Health Care Group,0919,Portiuncula University Hospital,0400,Endocrinology,Adult,16-64, 3-6 Months,8
25/02/2021,Saolta University Health Care Group,0919,Portiuncula University Hospital,0400,Endocrinology,Adult,16-64, 6-9 Months,2
