ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
30/09/2021,Adult,Connolly Hospital Blanchardstown,"4,679",911,174,124,"5,887"
30/09/2021,Adult,Coombe Women and Infants University Hospital,"1,661",454,252,392,"2,759"
30/09/2021,Adult,Cork University Hospital,"11,680","6,830","3,671","10,007","32,188"
30/09/2021,Adult,Cork University Maternity Hospital,"1,504",474,79,18,"2,075"
30/09/2021,Adult,Croom Orthopaedic Hospital,"1,843","1,317",924,763,"4,847"
30/09/2021,Adult,Ennis Hospital,549,392,274,817,"2,032"
30/09/2021,Adult,Galway University Hospitals,"18,048","11,160","6,647","18,794","54,648"
30/09/2021,Adult,Letterkenny University Hospital,"6,738","2,967","2,046","6,000","17,750"
30/09/2021,Adult,Louth County Hospital,"1,516",570,315,245,"2,646"
30/09/2021,Adult,Mallow General Hospital,"1,546",590,275,340,"2,751"
30/09/2021,Adult,Mater Misericordiae University Hospital,"21,701","7,877","4,197","11,871","45,645"
30/09/2021,Adult,Mayo University Hospital,"4,007","3,247","1,797","3,810","12,861"
30/09/2021,Adult,Mercy University Hospital,"2,670","1,092",788,"2,630","7,179"
30/09/2021,Adult,Midland Regional Hospital Mullingar,"3,677","2,254","1,353","1,331","8,615"
30/09/2021,Adult,Midland Regional Hospital Portlaoise,"2,394","1,311",704,"1,605","6,014"
30/09/2021,Adult,Midland Regional Hospital Tullamore,"5,044","3,125","2,138","5,541","15,848"
30/09/2021,Adult,Naas General Hospital,"4,472","2,007","1,277","3,361","11,117"
30/09/2021,Adult,National Orthopaedic Hospital Cappagh,"1,866",325,112,96,"2,399"
30/09/2021,Adult,Nenagh Hospital,394,333,240,194,"1,161"
30/09/2021,Adult,Our Lady of Lourdes Hospital Drogheda,"6,293","3,401","1,450","1,276","12,419"
30/09/2021,Adult,Our Lady's Hospital Navan,"2,881","1,635","1,007","2,627","8,150"
30/09/2021,Adult,Portiuncula University Hospital,"1,917",770,412,899,"3,997"
30/09/2021,Adult,Roscommon University Hospital,"3,106","1,118",773,"1,979","6,976"
30/09/2021,Adult,Rotunda Hospital,"2,324",945,15,2,"3,286"
30/09/2021,Adult,Royal Victoria Eye and Ear Hospital,"3,878","2,308","1,226","7,130","14,542"
30/09/2021,Adult,Sligo University Hospital,"6,896","4,015","2,648","4,956","18,514"
30/09/2021,Adult,South Infirmary Victoria University Hospital,"8,446","3,459","1,775","7,535","21,215"
30/09/2021,Adult,St. Columcille's Hospital,"1,997","1,157",826,"1,983","5,962"
30/09/2021,Adult,St. James's Hospital,"13,708","5,199","2,323","5,073","26,302"
30/09/2021,Adult,St. John's Hospital Limerick,767,453,177,586,"1,983"
30/09/2021,Adult,St. Luke's General Hospital Kilkenny,"2,533",532,128,97,"3,289"
30/09/2021,Adult,St. Michael's Hospital,"2,416",512,111,419,"3,458"
30/09/2021,Adult,St. Vincent's University Hospital,"14,318","4,616","2,596","4,231","25,760"
30/09/2021,Adult,Tallaght University Hospital,"12,521","7,631","4,168","11,698","36,018"
30/09/2021,Adult,Tipperary University Hospital,"2,217",851,374,682,"4,123"
30/09/2021,Adult,University Hospital Kerry,"4,527","2,260","1,688","3,382","11,857"
30/09/2021,Adult,University Hospital Limerick,"12,271","7,229","4,577","19,404","43,480"
30/09/2021,Adult,University Hospital Waterford,"14,030","7,874","5,223","15,313","42,440"
30/09/2021,Adult,Wexford General Hospital,"2,491",792,160,38,"3,481"
30/09/2021,Child,Beaumont Hospital,121,8,4,2,134
30/09/2021,Child,Cavan General Hospital,376,58,22,4,460
